rt,rf,rt-rf,rm,rm-rf
-0.385814471,0.006149,-0.391963471,0.175724629762211,0.169575629762211
0.048709375,0.006795,0.041914375,-0.204007708297086,-0.210802708297086
-0.093280295,0.006211,-0.099491295,0.000907257248463189,-0.00530374275153681
-0.030643943,0.005487,-0.036130943,-0.0977289512934453,-0.103215951293445
-0.091274434,0.002862,-0.094136434,-0.0700588801231872,-0.0729208801231872
0.01451947,0.002777,0.01174247,-0.0844409702907296,-0.0872179702907296
-0.0358895,0.003651,-0.0395405,0.00755065364644425,0.00389965364644425
0.198537941,0.004426,0.194111941,0.14266830972027,0.13824230972027
0.447386634,0.005031,0.442355634,0.376687406229019,0.371656406229019
-0.00637467,0.006098,-0.01247267,0.0202245745516407,0.0141265745516407
0.855490814,0.006796,0.848694814,0.458239910234698,0.451443910234698
0.810264734,0.007076,0.803188734,0.279343053719115,0.272267053719115
0.622842391,0.007465,0.615377391,0.224754238490753,0.217289238490753
1.025536235,0.008229,1.017307235,0.458651717900846,0.450422717900846
-0.003059058,0.010436,-0.013495058,-0.028245233711388,-0.038681233711388
-0.215749845,0.011235,-0.226984845,-0.325392254231663,-0.336627254231663
-0.297459595,0.01122,-0.308679595,-0.222547480203529,-0.233767480203529
-0.122043857,0.010878,-0.132921857,-0.173876583350388,-0.184754583350388
-0.17504012,0.008485,-0.18352512,-0.192005274132856,-0.200490274132856
0.580308147,0.003389,0.576919147,0.330599071039993,0.327210071039993
0.441831876,0.003065,0.438766876,0.254981664712854,0.251916664712854
0.070783705,0.004118,0.066665705,-0.0480158971758379,-0.0521338971758379
0.215441015,0.004495,0.210946015,0.198388078907157,0.193893078907157
-0.058792086,0.004775,-0.063567086,-0.0380897088697919,-0.0428647088697919
-0.272827056,0.005263,-0.278090056,-0.221747543962263,-0.227010543962263
0.223395142,0.006319,0.217076142,0.152815897100895,0.146496897100895
0.103935383,0.007928,0.096007383,0.0695051872689825,0.0615771872689825
0.066560923,0.011793,0.054767923,0.0239327875057709,0.0121397875057709
-0.082302774,0.011895,-0.094197774,-0.0507204799758392,-0.0626154799758392
-0.182177758,0.014441,-0.196618758,-0.140676903196661,-0.155117903196661
-0.140974741,0.013994,-0.154968741,-0.0906016979561107,-0.104595697956111
0.032365381,0.013217,0.019148381,0.0325901077050603,0.0193731077050603
-0.007121265,0.011161,-0.018282265,0.00913876181532847,-0.00202223818467153
-0.112258838,0.009304,-0.121562838,-0.0594120648693527,-0.0687160648693527
0.145893723,0.009444,0.136449723,0.0712373613449089,0.0617933613449089
-0.065026395,0.009722,-0.074748395,0.00103200406928705,-0.00868999593071295
-0.12258361,0.0107,-0.13328361,-0.0902204002566177,-0.100920400256618
0.150655703,0.011737,0.138918703,0.129315044605015,0.117578044605015
0.040834743,0.012239,0.028595743,-0.0193258256295605,-0.0315648256295605
-0.027100134,0.013896,-0.040996134,-0.0338538785501632,-0.0477498785501632
-0.00379253,0.012951,-0.01674353,0.0309630236219367,0.0180120236219367
0.263295127,0.01171,0.251585127,0.197416322407103,0.185706322407103
0.247764213,0.011207,0.236557213,0.280273435413576,0.269066435413576
0.247710948,0.012297,0.235413948,0.224396391296083,0.212099391296083
0.345455778,0.009168,0.336287778,0.184705856916092,0.175537856916092
-0.354623961,0.007838,-0.362461961,-0.313533008223519,-0.321371008223519
0.306477663,0.007702,0.298775663,0.233323865782074,0.225621865782074
-0.139696075,0.007386,-0.147082075,-0.16386420161267,-0.17125020161267
-0.075364342,0.007273,-0.082637342,-0.0038102364834004,-0.0110832364834004
0.079002722,0.007079,0.071923722,0.0341119654431827,0.0270329654431827
0.057206323,0.007416,0.049790323,0.0208693698878009,0.0134533698878009
0.087516421,0.010127,0.077389421,0.0337460374002037,0.0236190374002037
-0.064838939,0.011172,-0.076010939,-0.0119905866868694,-0.0231625866868694
0.087604446,0.010847,0.076757446,0.0589927087805722,0.0481457087805722
-0.014778742,0.01147,-0.026248742,-0.0182323849432743,-0.0297023849432743
