,small_BE/ME,1,2,3,big_BE/ME
small_size,0.6874857757523305,0.8730306771586511,0.8671295923073661,0.9056569530301204,0.880689429094212
1,0.8577077550728601,0.8988263379120489,0.9026199085920984,0.9178827685876512,0.8839706174809743
2,0.8912612600709817,0.9058841664747793,0.9220534597368508,0.9143225013932853,0.8787663737522892
3,0.9089587766841691,0.9157309101968346,0.9454878357738538,0.9344948841300768,0.8387876547900586
big_size,0.9144232904875893,0.944690313088078,0.9450027605242987,0.9213547051810681,0.8091727884374061
