year,lnme,lnbm,z_score,return
2007,h,m,l,2.2967262721341606
2007,h,l,h,2.153149678252237
2007,h,l,m,1.4917514349463235
2007,h,l,l,1.7655068553409603
2007,m,h,h,2.3759323668869867
2007,m,h,m,2.586663224651507
2007,m,h,l,2.682337982501674
2007,m,m,h,2.3135764990564187
2007,m,m,m,2.0946948346749634
2007,m,m,l,2.231188373653046
2007,m,l,h,2.1469028865412487
2007,m,l,m,2.404941973224262
2007,m,l,l,3.1646019023417424
2007,l,h,h,2.6318158063307378
2007,l,h,m,2.8983793410990017
2007,l,h,l,3.1770601193828547
2007,l,m,h,2.551833365722348
2007,l,m,m,3.1175077869127357
2007,l,m,l,3.0105556727460545
2007,l,l,h,2.497808462876022
2007,l,l,m,2.2224390385126886
2007,l,l,l,2.295334856618357
2008,h,h,h,-0.6388035510729542
2008,h,h,m,-0.5765780649070704
2008,h,h,l,-0.662734917441976
2008,h,m,h,-0.6665089323476171
2008,h,m,m,-0.5319289524730647
2008,h,m,l,-0.633539189730466
2008,h,l,h,-0.5557304411332773
2008,h,l,m,-0.615976023785314
2008,h,l,l,-0.6690343138767568
2008,m,h,h,-0.5863371078758215
2008,m,h,m,-0.5365119806477286
2008,m,h,l,-0.5724729996395809
2008,m,m,h,-0.49345033435476254
2008,m,m,m,-0.5419996758188684
2008,m,m,l,-0.5766887022041836
2008,m,l,h,-0.4325300181273165
2008,m,l,m,-0.6019993676785114
2008,m,l,l,-0.5405884285738021
2008,l,h,h,-0.4983303910639948
2008,l,h,m,-0.43225023044269484
2008,l,h,l,-0.4192495796827072
2008,l,m,h,-0.5226215241088518
2008,l,m,m,-0.46013753852950645
2008,l,m,l,-0.49779192834340974
2008,l,l,h,-0.5041807151972704
2008,l,l,m,-0.5007565543494558
2008,l,l,l,-0.3762972151077254
2009,h,h,h,1.6745551750551826
2009,h,h,m,1.1576342420271937
2009,h,h,l,1.3026652468880222
2009,h,m,h,1.432836250948503
2009,h,m,m,1.186274725071997
2009,h,m,l,1.0987906576206166
2009,h,l,h,0.7089660650458923
2009,h,l,m,0.6467139874912705
2009,h,l,l,1.060105540030337
2009,m,h,h,1.6726291498904913
2009,m,h,m,1.9657766852025815
2009,m,h,l,1.9395172245495647
2009,m,m,h,1.9726496381581302
2009,m,m,m,1.5918621677774276
2009,m,m,l,1.6199202183559147
2009,m,l,h,1.576564033655414
2009,m,l,m,1.2685563011304135
2009,m,l,l,1.3513123939928127
2009,l,h,h,2.262964280345781
2009,l,h,m,2.352329869970421
2009,l,h,l,1.9870680295987244
2009,l,m,h,1.9670479305461346
2009,l,m,m,1.7807467880825607
2009,l,m,l,1.8667369923918165
2009,l,l,h,2.1496417984974725
2009,l,l,m,1.6460637057271221
2009,l,l,l,2.138493429594277
2010,h,h,h,-0.012478383037701896
2010,h,h,m,0.04368317934540931
2010,h,h,l,-0.06489797219503289
2010,h,m,h,-0.06934644090819772
2010,h,m,m,-0.0549580115917462
2010,h,m,l,0.04281311041196292
2010,h,l,h,0.2804437744906354
2010,h,l,m,0.2507605608603568
2010,h,l,l,0.30047426410702066
2010,m,h,h,0.21234139755328543
2010,m,h,m,0.2633134765327051
2010,m,h,l,0.08476980195228799
2010,m,m,h,0.41917678381694484
2010,m,m,m,0.4195832052795941
2010,m,m,l,0.2491661251935458
2010,m,l,h,0.44044914320451384
2010,m,l,m,0.4189792026013953
2010,m,l,l,0.44527772351690553
2010,l,h,h,0.14361559772781832
2010,l,h,m,0.26074731747243995
2010,l,h,l,0.20069523219372087
2010,l,m,h,0.4531466827266945
2010,l,m,m,0.45964509798786146
2010,l,m,l,0.32874835854776757
2010,l,l,h,0.45053137755680345
2010,l,l,m,0.4491309274291982
2010,l,l,l,0.44944821061260554
2011,h,h,h,-0.11393202976699539
2011,h,h,m,-0.21405686166205506
2011,h,h,l,-0.2534428102583039
2011,h,m,h,-0.20428974308227493
2011,h,m,m,-0.32961804528090755
2011,h,m,l,-0.3628097625461564
2011,h,l,h,-0.16105737617482282
2011,h,l,m,-0.33238802327127376
2011,h,l,l,-0.29755347830194606
2011,m,h,h,-0.3125174180593459
2011,m,h,m,-0.2705239021345446
2011,m,h,l,-0.25530413595804313
2011,m,m,h,-0.3051344651372751
2011,m,m,m,-0.2684975113516836
2011,m,m,l,-0.24656071656034134
2011,m,l,h,-0.29664807061573417
2011,m,l,m,-0.33548921961059486
2011,m,l,l,-0.326237415250337
2011,l,h,h,-0.2306669734793966
2011,l,h,m,-0.1746678259537271
2011,l,h,l,-0.2189226869563901
2011,l,m,h,-0.25445686075277957
2011,l,m,m,-0.29406387864193007
2011,l,m,l,-0.20106821999013505
2011,l,l,h,0.0949379534043832
2011,l,l,m,-0.2429331793135298
2011,l,l,l,0.09256187946664979
2012,h,h,h,0.059691064454703485
2012,h,h,m,0.13414469540933877
2012,h,h,l,0.1339313439056131
2012,h,m,h,-0.02072780830512617
2012,h,m,m,0.04205179441584217
2012,h,m,l,0.04528832201040964
2012,h,l,h,0.16612094623276508
2012,h,l,m,-0.056876867959095447
2012,h,l,l,0.03165196379083888
2012,m,h,h,0.06189766617585296
2012,m,h,m,0.20100511634944224
2012,m,h,l,0.15574673779942785
2012,m,m,h,0.0401127719116314
2012,m,m,m,0.0820492217759331
2012,m,m,l,0.018780551983534226
2012,m,l,h,0.11399431365009555
2012,m,l,m,0.016025149149756505
2012,m,l,l,0.03505644863898478
2012,l,h,h,0.08008977345008533
2012,l,h,m,0.360533999338927
2012,l,h,l,0.20745605479559892
2012,l,m,h,0.09891159612407759
2012,l,m,m,0.0996282829911982
2012,l,m,l,0.21906304884156028
2012,l,l,h,0.2735844198535114
2012,l,l,m,0.14743094819096308
2012,l,l,l,0.24395918816238743
2013,h,h,h,-0.03356905750097816
2013,h,h,m,0.04545245458058601
2013,h,h,l,0.05604570834393303
2013,h,m,h,0.0006847952109282181
2013,h,m,m,-0.021298888795706593
2013,h,m,l,0.3106120049715614
2013,h,l,h,0.3278940218732528
2013,h,l,m,0.44339180417043283
2013,h,l,l,0.38816713262078995
2013,m,h,h,0.4525253492704455
2013,m,h,m,0.21594764239294353
2013,m,h,l,0.1540745741629224
2013,m,m,h,0.3499536260912421
2013,m,m,m,0.4138124761278311
2013,m,m,l,0.42074627280059046
2013,m,l,h,0.47337609589555835
2013,m,l,m,0.23120831914851844
2013,m,l,l,0.49179613580847725
2013,l,h,h,0.5999019874390135
2013,l,h,m,0.21854711939526691
2013,l,h,l,0.30618807375084334
2013,l,m,h,0.6756553077737381
2013,l,m,m,0.521992662867808
2013,l,m,l,0.5213569175855245
2013,l,l,h,0.4388051414219608
2013,l,l,m,0.40338857144284135
2013,l,l,l,0.6581369677956963
2014,h,h,h,0.5265046812817253
2014,h,h,m,0.8253481938751254
2014,h,h,l,0.9425428526312338
2014,h,m,h,0.34769313757939013
2014,h,m,m,0.2689057616238817
2014,h,m,l,0.500431098289232
2014,h,l,h,0.13929367405401488
2014,h,l,m,0.24938753820026804
2014,h,l,l,0.388669700612946
2014,m,h,h,0.6564935756209339
2014,m,h,m,0.6227017425037707
2014,m,h,l,0.7723395850299434
2014,m,m,h,0.4101944470278755
2014,m,m,m,0.4876444669325446
2014,m,m,l,0.4868439824855545
2014,m,l,h,0.440242753062835
2014,m,l,m,0.6001306290431512
2014,m,l,l,0.3521994674390283
2014,l,h,h,0.62687997050093
2014,l,h,m,0.6638153281831797
2014,l,h,l,0.6659886731994102
2014,l,m,h,0.7524191480424232
2014,l,m,m,0.5595565741274998
2014,l,m,l,0.6325998506539537
2014,l,l,h,0.7083893909294465
2014,l,l,m,0.7467148508296948
2014,l,l,l,0.5920762574467088
2015,h,h,h,0.024704426275089283
2015,h,h,m,0.1852181627002318
2015,h,h,l,0.16202772300921997
2015,h,m,h,0.39526821789426225
2015,h,m,m,0.34939161002701047
2015,h,m,l,0.3682268371289742
2015,h,l,h,0.5439897312404577
2015,h,l,m,0.5278380393603922
2015,h,l,l,0.509110531022336
2015,m,h,h,0.4160791692201809
2015,m,h,m,0.590545769705419
2015,m,h,l,0.615861385639734
2015,m,m,h,0.9111904964305763
2015,m,m,m,0.7750546515322186
2015,m,m,l,0.7588363572473594
2015,m,l,h,0.9817838345342328
2015,m,l,m,1.0287608882244639
2015,m,l,l,1.1396760118353975
2015,l,h,h,0.979501028460706
2015,l,h,m,1.099621834361186
2015,l,h,l,1.1139181969952956
2015,l,m,h,1.2603792703531524
2015,l,m,m,1.426985967876771
2015,l,m,l,1.516645547917647
2015,l,l,h,1.4123510262407182
2015,l,l,m,2.4132524687581376
2015,l,l,l,1.5521274153180158
2016,h,h,h,0.0030914045128547524
2016,h,h,m,-0.022504438819525078
2016,h,h,l,-0.12303557339838216
2016,h,m,h,0.04757358491607442
2016,h,m,m,-0.15329750643420667
2016,h,m,l,-0.1868788040701617
2016,h,l,h,-0.13869156036309568
2016,h,l,m,-0.2580645485246007
2016,h,l,l,-0.20336552817349612
2016,m,h,h,-0.05464112996991208
2016,m,h,m,-0.05317137265355861
2016,m,h,l,-0.09295147167725855
2016,m,m,h,-0.08298294767280193
2016,m,m,m,-0.13749606214047383
2016,m,m,l,-0.11482904561387708
2016,m,l,h,-0.1917165225857988
2016,m,l,m,-0.169700710171099
2016,m,l,l,-0.17623928462843522
2016,l,h,h,0.13788349147324971
2016,l,h,m,0.29675770478062985
2016,l,h,l,0.006458782858736053
2016,l,m,h,0.023078010588078724
2016,l,m,m,0.18780240173935323
2016,l,m,l,0.11889054106150294
2016,l,l,h,0.17261007623188365
2016,l,l,m,0.06090368411519026
2016,l,l,l,-0.0006430864277300976
2017,h,h,h,0.3927506202392457
2017,h,h,m,0.22261276310659117
2017,h,h,l,0.22099925059613929
2017,h,m,h,0.4231317835420357
2017,h,m,m,0.21620395772799555
2017,h,m,l,0.03691873541914107
2017,h,l,h,0.6443790325287484
2017,h,l,m,0.2460504528312936
2017,h,l,l,-0.1074400843745448
2017,m,h,h,-0.08442716503629158
2017,m,h,m,0.05353571499665863
2017,m,h,l,0.15446503544602058
2017,m,m,h,-0.00663970781227092
2017,m,m,m,-0.1046961529232053
2017,m,m,l,-0.03226479816732052
2017,m,l,h,0.0006489991599572149
2017,m,l,m,-0.08937435420309552
2017,m,l,l,-0.15729223000379167
2017,l,h,h,-0.2113525307175432
2017,l,h,m,0.10186736404828829
2017,l,h,l,0.014050805932554101
2017,l,m,h,0.06267340926527261
2017,l,m,m,-0.15163854009963149
2017,l,m,l,-0.26427100335796627
2017,l,l,h,-0.2820483492221574
2017,l,l,m,-0.2541409338936585
2017,l,l,l,-0.2127135615611885
