year,lnme,lnbm,z_score,return
2001,h,h,h,-0.1529145548191042
2001,h,h,m,-0.172477628516868
2001,h,h,l,-0.20283737610755967
2001,h,m,h,-0.19412671764490896
2001,h,m,m,-0.23567645834605458
2001,h,m,l,-0.19410567604922632
2001,h,l,h,-0.24313392627062927
2001,h,l,m,-0.22274156477956294
2001,h,l,l,-0.13546712285815707
2001,m,h,h,-0.20315771040309485
2001,m,h,m,-0.17575095726827905
2001,m,h,l,-0.21715433498248243
2001,m,m,h,-0.23850456173221884
2001,m,m,m,-0.20672971220155242
2001,m,m,l,-0.21171200804986565
2001,m,l,h,-0.15672421297439904
2001,m,l,m,-0.21383018367547385
2001,m,l,l,-0.24495188465703435
2001,l,h,h,-0.18698359410489454
2001,l,h,m,-0.1717634826696688
2001,l,h,l,-0.1686095273215696
2001,l,m,h,-0.1472202905122068
2001,l,m,m,-0.16690695940363168
2001,l,m,l,-0.18338958246690606
2001,l,l,h,-0.1739538590338234
2001,l,l,m,-0.1837793429955816
2001,l,l,l,-0.1892468817295962
2002,h,h,h,-0.09819187363637948
2002,h,h,m,-0.06657870276251811
2002,h,h,l,-0.11905270582351984
2002,h,m,h,-0.11445903362723842
2002,h,m,m,-0.15585403289645888
2002,h,m,l,-0.05416959084812675
2002,h,l,h,-0.10272459763105889
2002,h,l,m,-0.11976357892657159
2002,h,l,l,-0.20316080150604926
2002,m,h,h,-0.18164810405984297
2002,m,h,m,-0.19759053662314563
2002,m,h,l,-0.18661512828653146
2002,m,m,h,-0.2055886185631238
2002,m,m,m,-0.20397512388528888
2002,m,m,l,-0.1972042276970493
2002,m,l,h,-0.14969825935089243
2002,m,l,m,-0.12942635510591527
2002,m,l,l,-0.25686982979915474
2002,l,h,h,-0.22920481982911023
2002,l,h,m,-0.19822445036525443
2002,l,h,l,-0.135934749203503
2002,l,m,h,-0.13169556792034004
2002,l,m,m,-0.15935093801585767
2002,l,m,l,-0.17282700583234345
2002,l,l,h,-0.1165496957835869
2002,l,l,m,-0.1552221342868997
2002,l,l,l,-0.12525440836426988
2003,h,h,h,0.3419774255305355
2003,h,h,m,0.5671368047782887
2003,h,h,l,0.6900298056032391
2003,h,m,h,0.20055378303313467
2003,h,m,m,0.21085345213853982
2003,h,m,l,0.06703107409191293
2003,h,l,h,0.10372624787934444
2003,h,l,m,-0.03413793211920448
2003,h,l,l,-0.26534399988467766
2003,m,h,h,0.15704376839033884
2003,m,h,m,-0.015392020633763444
2003,m,h,l,0.01386792564649502
2003,m,m,h,0.04020445630236959
2003,m,m,m,-0.18633796515756942
2003,m,m,l,0.08786259479372333
2003,m,l,h,-0.23214878079468168
2003,m,l,m,-0.19203096790653112
2003,m,l,l,-0.16940951577853977
2003,l,h,h,-0.2841898764829564
2003,l,h,m,-0.2203520198182998
2003,l,h,l,-0.007224163761028534
2003,l,m,h,-0.16386538369090559
2003,l,m,m,-0.10067847403160123
2003,l,m,l,-0.10161618636324272
2003,l,l,h,-0.2641059723902932
2003,l,l,m,-0.23789897964614554
2003,l,l,l,-0.26666844171445564
2004,h,h,h,-0.02876502628242539
2004,h,h,m,-0.1381729462660378
2004,h,h,l,-0.06355793756245737
2004,h,m,h,-0.09117253868620943
2004,h,m,m,-0.03416100569597268
2004,h,m,l,-0.1027594828078553
2004,h,l,h,0.03455240446364223
2004,h,l,m,-0.01067020493903078
2004,h,l,l,0.051341315606556547
2004,m,h,h,0.07347304587007902
2004,m,h,m,-0.18153425311873697
2004,m,h,l,-0.09837481365410043
2004,m,m,h,0.03526823254864785
2004,m,m,m,-0.08809955312963903
2004,m,m,l,-0.06984249373112598
2004,m,l,h,-0.214104310972229
2004,m,l,m,-0.010768184579103559
2004,m,l,l,-0.16845814639694218
2004,l,h,h,-0.22967368300033408
2004,l,h,m,-0.06919161517262278
2004,l,h,l,-0.11285308039035886
2004,l,m,h,0.015219130357361917
2004,l,m,m,-0.05553915077433074
2004,l,m,l,-0.0798864707765893
2004,l,l,h,-0.17979004369994253
2004,l,l,m,-0.17025588865923083
2004,l,l,l,-0.16810963935978063
2005,h,h,h,-0.021429955092783063
2005,h,h,m,-0.04835899761839576
2005,h,h,l,-0.08340405542858316
2005,h,m,h,-0.06265159714399418
2005,h,m,m,-0.028632338456768523
2005,h,m,l,-0.08438125852628096
2005,h,l,h,0.06848198471695813
2005,h,l,m,-0.0024286590426854755
2005,h,l,l,-0.10638473290296542
2005,m,h,h,-0.14529101959342336
2005,m,h,m,-0.024717912472754025
2005,m,h,l,-0.08606774545311062
2005,m,m,h,-0.05440512997408643
2005,m,m,m,-0.07112112884237899
2005,m,m,l,-0.08786250207761644
2005,m,l,h,0.02319325739453708
2005,m,l,m,-0.17913654136504056
2005,m,l,l,-0.13675338104151893
2005,l,h,h,-0.1391749799042568
2005,l,h,m,-0.02919701095692999
2005,l,h,l,-0.07624247351004243
2005,l,m,h,-0.14666632259475584
2005,l,m,m,-0.17468324233161098
2005,l,m,l,-0.09305552138053674
2005,l,l,h,-0.09826875073429683
2005,l,l,m,-0.11636739004528486
2005,l,l,l,-0.10681617237669705
2006,h,h,h,1.413501966994987
2006,h,h,m,1.3214295835069074
2006,h,h,l,1.1391147141487774
2006,h,m,h,1.5472532753187693
2006,h,m,m,1.4816784599944732
2006,h,m,l,1.6779024141957468
2006,h,l,h,1.8447760994807896
2006,h,l,m,1.0560127643880948
2006,h,l,l,0.8220835131624991
2006,m,h,h,1.5894101241857554
2006,m,h,m,1.7926838899914082
2006,m,h,l,1.1491585755603424
2006,m,m,h,1.3581704645317587
2006,m,m,m,0.9648830497947403
2006,m,m,l,1.2312251575512583
2006,m,l,h,1.3907609769972453
2006,m,l,m,0.7145028456876518
2006,m,l,l,1.214236933683629
2006,l,h,h,1.1610865318257568
2006,l,h,m,1.0695349251121091
2006,l,h,l,1.697251139485756
2006,l,m,h,1.2048569727690037
2006,l,m,m,1.071512423779923
2006,l,m,l,1.0434127959530124
2006,l,l,h,0.870896065078097
2006,l,l,m,1.3014084835629425
2006,l,l,l,0.8542243528557036
2007,h,h,h,3.375792057794581
2007,h,h,m,2.124055874950262
2007,h,h,l,3.5187035874260095
2007,h,m,h,1.9477291914185857
2007,h,m,m,1.9376517263243023
