T,RTRF,RMRF,SMB,HML,HZL
1,-0.172714554819104,-0.25632,0.020180833906,0.0124644236423,0.00563944074746
2,-0.117736873636379,-0.190762,-0.0433676502159,-0.00604126775949,0.0134808752177
3,0.318025425530535,0.0158,-0.392047350994,0.311212887956,-0.0165926027618
4,-0.0535410262824253,-0.174522,-0.0740794465896,-0.00137640122677,0.0252786621857
5,-0.036175955092783,-0.084941,-0.0679202504821,6.62E-05,0.0316394810857
6,1.39111996699498,1.087968,-0.225507677863,0.251585490657,0.172455875621
7,3.34254905779458,1.29712,0.421296419068,0.580922585819,-0.238608367474
8,-0.680604551072954,-0.687144,0.148802078883,-0.0140195272161,0.00554491770208
9,1.65947217505518,0.887542,0.875838992731,0.418746960929,0.117027176569
10,-0.0368003830377018,-0.099785,0.275468302308,-0.261522837426,0.0312650087544
11,-0.166095029766995,-0.283169,0.0933187042364,-0.0265808571735,0.0317302625212
12,0.0165960644547034,0.008931,0.132820206421,0.0470611046632,-0.0241398795979
13,-0.0780010575009781,-0.036492,0.314065863778,-0.204561148705,-0.00243294670724
14,0.476778681281725,0.472971,0.195518156196,0.231723371245,-0.080620076632
15,-0.0122345737249108,0.195912,1.07877860862,-0.546823583352,-0.0901314228294
16,-0.0260615954871452,-0.143743,0.226546064086,0.11142165307,0.0765330974666
17,0.349119620239245,0.020665,-0.38813109458,0.11960365415,0.142962660224
