T,RTRF,RMRF,SMB,HML,HZL
1,-0.226529712202,-0.25632,0.020180833906,0.0124644236423,0.00563944074746
2,-0.223520123885,-0.190762,-0.0433676502159,-0.00604126775949,0.0134808752177
3,-0.210289965158,0.0158,-0.392047350994,0.311212887956,-0.0165926027618
4,-0.11287555313,-0.174522,-0.0740794465896,-0.00137640122677,0.0252786621857
5,-0.0858671288424,-0.084941,-0.0679202504821,6.62E-05,0.0316394810857
6,0.942501049795,1.087968,-0.225507677863,0.251585490657,0.172455875621
7,2.06145183467,1.29712,0.421296419068,0.580922585819,-0.238608367474
8,-0.583800675819,-0.687144,0.148802078883,-0.0140195272161,0.00554491770208
9,1.57677916778,0.887542,0.875838992731,0.418746960929,0.117027176569
10,0.39526120528,-0.099785,0.275468302308,-0.261522837426,0.0312650087544
11,-0.320660511352,-0.283169,0.0933187042364,-0.0265808571735,0.0317302625212
12,0.0389542217759,0.008931,0.132820206421,0.0470611046632,-0.0241398795979
13,0.369380476128,-0.036492,0.314065863778,-0.204561148705,-0.00243294670724
14,0.437918466933,0.472971,0.195518156196,0.231723371245,-0.080620076632
15,0.738115651532,0.195912,1.07877860862,-0.546823583352,-0.0901314228294
16,-0.16664906214,-0.143743,0.226546064086,0.11142165307,0.0765330974666
17,-0.148327152923,0.020665,-0.38813109458,0.11960365415,0.142962660224
