zb,year,h,l,l-h
lnme,2001,-0.194831225044,-0.174650391138,0.020180833906
lnme,2002,-0.11488387974,-0.158251529956,-0.0433676502159
lnme,2003,0.209091851228,-0.182955499767,-0.392047350994
lnme,2004,-0.0425961580189,-0.116675604608,-0.0740794465896
lnme,2005,-0.0410210677217,-0.108941318204,-0.0679202504821
lnme,2006,1.36708364347,1.1415759656,-0.225507677863
lnme,2007,2.29011851984,2.71141493891,0.421296419068
lnme,2008,-0.616759376308,-0.467957297425,0.148802078883
lnme,2009,1.14094909891,2.01678809164,0.875838992731
lnme,2010,0.0796104534981,0.355078755806,0.275468302308
lnme,2011,-0.252127570038,-0.158808865802,0.0933187042364
lnme,2012,0.0594750504395,0.192295256861,0.132820206421
lnme,2013,0.168597775053,0.48266363883,0.314065863778
lnme,2014,0.465419626461,0.660937782657,0.195518156196
lnme,2015,0.340641697629,1.41942030625,1.07877860862
lnme,2016,-0.115019218928,0.111526845158,0.226546064086
lnme,2017,0.25506739018,-0.133063704401,-0.38813109458
lnbm,2001,-0.183516574022,-0.195980997664,-0.0124644236423
lnbm,2002,-0.157004563399,-0.150963295639,0.00604126775949
lnbm,2003,0.138099738806,-0.173113149151,-0.311212887956
lnbm,2004,-0.0942944788419,-0.0929180776151,0.00137640122677
lnbm,2005,-0.0726537944478,-0.0727200428219,-6.62483740794e-05
lnbm,2006,1.37035238342,1.11876689277,-0.251585490657
lnbm,2007,2.81897115122,2.23804856541,-0.580922585819
lnbm,2008,-0.547029869197,-0.533010341981,0.0140195272161
lnbm,2009,1.81279332261,1.39404636169,-0.418746960929
lnbm,2010,0.125754405283,0.387277242709,0.261522837426
lnbm,2011,-0.22711496047,-0.200534103296,0.0265808571735
lnbm,2012,0.154944050187,0.107882945523,-0.0470611046632
lnbm,2013,0.223901539093,0.428462687798,0.204561148705
lnbm,2014,0.700290511425,0.46856714018,-0.231723371245
lnbm,2015,0.576386410707,1.12320999406,0.546823583352
lnbm,2016,0.0108763774563,-0.100545275614,-0.11142165307
lnbm,2017,0.096055762068,-0.023547892082,-0.11960365415
z_score,2001,-0.188524380833,-0.19416382158,-0.00563944074746
z_score,2002,-0.147751174489,-0.161232049707,-0.0134808752177
z_score,2003,-0.0112004813581,0.00539212140371,0.0165926027618
z_score,2004,-0.0649991988224,-0.0902778610081,-0.0252786621857
z_score,2005,-0.0640236125473,-0.095663093633,-0.0316394810857
z_score,2006,1.37563471969,1.20317884407,-0.172455875621
z_score,2007,2.44383781276,2.68244618024,0.238608367474
z_score,2008,-0.544277001698,-0.5498219194,-0.00554491770208
z_score,2009,1.71309492468,1.59606774811,-0.117027176569
z_score,2010,0.257542214792,0.226277206038,-0.0312650087544
z_score,2011,-0.198196109296,-0.229926371817,-0.0317302625212
z_score,2012,0.0970749715053,0.121214851103,0.0241398795979
z_score,2013,0.365025251942,0.367458198649,0.00243294670724
z_score,2014,0.512012308678,0.59263238531,0.080620076632
z_score,2015,0.769471911183,0.859603334013,0.0901314228294
z_score,2016,-0.00931062142994,-0.0858437188966,-0.0765330974666
z_score,2017,0.104346232439,-0.0386164277857,-0.142962660224
