T,RTRF,RMRF,SMB,HML,HZL
1,-0.16201052682,-0.0329479922841,-0.055475085,-0.0365047560918,0.169575629762211
2,-0.109740003576,-0.109805348779,0.049402223,-0.0027222950196,-0.210802708297086
3,-0.0323190592831,-0.0313295959779,-0.025786042,-0.0128039093992,-0.00530374275153681
4,0.00955434013611,-0.0336162353947,-0.032090703,0.00554577632823,-0.103215951293445
5,-0.0512703372258,-0.0430171596433,0.015084866,-0.0305712827229,-0.0729208801231872
6,0.0897964361604,0.0648655311178,-0.043704414,-0.0248666786523,-0.0872179702907296
7,-0.0371068011299,-0.0481262271577,-0.013748853,0.00887794093573,0.00389965364644425
8,0.020793644856,-0.0432421467994,0.047601085,0.037974374912,0.13824230972027
9,0.321621969842,0.0651184238742,-0.019038272,0.0104976925429,0.371656406229019
10,-0.022093181608,0.112632914059,0.017703372,0.00500621945884,0.0141265745516407
11,0.325801657252,-0.435419822869,0.069887436,0.066249623401,0.451443910234698
12,0.245899558421,0.508764763165,0.162364612,-0.0820162006054,0.272267053719115
13,0.688834844552,-0.276342446819,0.025006044,0.0362476340122,0.217289238490753
14,0.533796134833,-0.0386453625229,0.128597428,-0.032222609369,0.450422717900846
15,-0.0549623819154,0.0351183987067,0.011412477,0.0198491820325,-0.038681233711388
16,-0.359477349322,0.186124605817,0.055608224,0.00603598862095,-0.336627254231663
17,-0.197710914055,-0.0557488558296,-0.055383117,-0.0423372473506,-0.233767480203529
18,-0.224060698452,-0.0261595020938,0.061766516,0.0113875959011,-0.184754583350388
19,-0.121671291099,0.167014182232,-0.017872212,0.0243176128444,-0.200490274132856
20,0.257993997373,0.222905559925,0.160588854,0.0139884418205,0.327210071039993
21,0.24917621891,0.0857205761622,0.078946715,0.0150332907557,0.251916664712854
22,-0.0117286205888,0.0444758605681,0.008971015,0.0319479009844,-0.0521338971758379
23,0.126207272662,0.207405018287,0.050707351,0.044413661768,0.193893078907157
24,-0.0883964453758,0.175517001158,-0.011315276,-0.0275306166729,-0.0428647088697919
25,-0.0522313707442,-0.0254246941607,-0.102056415,-0.0214407388006,-0.227010543962263
26,0.518282680152,0.0659971064695,-0.106006295,-0.0259899767753,0.146496897100895
27,0.2485474281,-0.00943841358599,-0.034991731,-0.0122143300523,0.0615771872689825
28,0.0422963328672,0.0906408847362,0.070650982,-0.00819755318312,0.0121397875057709
29,-0.0453710673027,0.0340854662718,0.019694564,-0.0149812556966,-0.0626154799758392
30,-0.188051465624,0.0460494699446,-0.041565323,0.014988654555,-0.155117903196661
31,-0.175810349671,-0.0600310155427,0.007713045,0.0379660546779,-0.104595697956111
32,0.105943083315,0.051035393162,-0.003368529,-0.0342617784452,0.0193731077050603
33,0.0673512337256,0.0228358333405,-0.03322261,-0.00469182890163,-0.00202223818467153
34,0.0203277812859,0.0139201940678,-0.042166665,-0.0335409164258,-0.0687160648693527
35,0.0208847891855,-0.00799329901785,0.11842599,0.015065561704,0.0617933613449089
36,0.240955166524,0.0668902610193,-0.100161965,-0.0392585725597,-0.00868999593071295
37,0.0643918745233,-0.00189000201156,-0.091163315,-0.00267152815745,-0.100920400256618
38,0.192751078177,0.104012090307,-0.002102596,0.0579169291572,0.117578044605015
39,-0.106972958789,0.0575294540996,0.028276919,0.051745554415,-0.0315648256295605
40,-0.00451053538283,0.116523648926,-0.021143792,0.0046837229219,-0.0477498785501632
41,0.0630652325637,0.0634287597052,-0.040224005,0.0000351011999076,0.0180120236219367
42,0.251159419113,0.230535460758,0.00135027,0.0218953983022,0.185706322407103
43,-0.0853980803295,-0.175526606396,0.288739327,-0.0273399686681,0.269066435413576
44,0.554274724729,0.165308364135,-0.139749817,0.0255765352449,0.212099391296083
45,0.148894796612,0.20876914306,0.062924853,-0.00581124660586,0.175537856916092
46,-0.195848610633,-0.0133757191409,-0.042590757,-0.0344233048328,-0.321371008223519
47,0.310040595091,0.41019136619,-0.140797644,-0.0179027675692,0.225621865782074
48,-0.163537794413,0.00237663351309,0.021456472,0.00794788948071,-0.17125020161267
49,0.0353141979178,0.0679310472446,-0.057598292,0.0177763977887,-0.0110832364834004
50,-0.0958006293798,0.0846241058251,0.073683464,0.00959262078837,0.0270329654431827
51,-0.107094270752,0.0870045512998,0.050380749,-0.00629778423205,0.0134533698878009
52,-0.0361826007402,-0.0451305630264,0.074902536,0.00992946258804,0.0236190374002037
53,-0.0378757993483,-0.135787545944,0.031795147,0.00302574002614,-0.0231625866868694
54,0.167856672276,-0.00857733480366,0.043063603,-0.00445746817198,0.0481457087805722
55,-0.100370294305,-0.133012356878,0.0005754,0.0324602287914,-0.0297023849432743
