,ARGENTINA,AUSTRIA,AUSTRALIA,BELGIUM,BRAZIL,CANADA,SWITZERLAND,CHINA,CZECH-REPUBLIC,GERMANY,DENMARK,SPAIN,FINLAND,FRANCE,UNITED-KINGDOM,HONG-KONG,INDONESIA,IRELAND,INDIA,ITALY,JAPAN,SOUTH-KOREA,LUXEMBOURG,MEXICO,MALAYSIA,NETHERLANDS,NORWAY,NEW-ZEALAND,PERU,PHILIPPINES,POLAND,PORTUGAL,ROMANIA,RUSSIA,SWEDEN,SINGAPORE,THAILAND,TAIWAN,SOUTH-AFRICA
1997,34.50,63.56,26.00,124.31,,95.38,54.35,20.40,12.35,58.99,,64.24,52.38,61.48,36.58,23.28,,70.15,66.21,112.44,100.34,10.23,9.38,23.12,31.80,65.79,32.10,29.71,,54.29,42.26,55.26,15.06,,67.50,68.24,40.62,16.08,
1996,,68.29,29.33,128.85,,100.20,51.53,21.39,11.60,57.87,,65.52,55.47,60.07,36.02,24.13,,78.68,64.25,115.22,98.92,8.24,9.60,26.72,35.20,71.37,36.57,34.77,,51.68,42.35,59.52,10.58,,69.77,68.80,15.20,15.47,
1995,,68.29,31.26,131.11,,100.20,49.89,21.39,13.71,54.90,,61.69,55.47,56.10,34.61,20.62,,88.98,67.27,115.78,91.10,8.98,9.81,36.28,41.16,73.10,40.83,42.15,,59.63,47.58,58.46,6.60,,69.42,67.40,,15.73,
1994,,64.19,31.78,132.25,,97.65,46.18,,,,,58.71,56.31,49.59,31.24,20.09,,94.31,69.93,120.99,83.29,10.10,,32.68,46.91,,50.72,45.31,,62.36,,57.39,,,72.40,68.24,,14.86,
1993,,60.83,30.73,133.10,,94.81,42.77,,,,,56.16,54.34,46.19,26.75,15.19,,91.47,72.41,114.48,77.60,11.47,,22.99,54.99,,53.70,50.79,,74.90,,54.56,,,,68.80,,14.25,
1992,,56.52,27.75,128.56,,88.86,36.68,,,,,45.53,39.20,39.68,22.82,13.70,,94.67,72.06,103.33,71.21,12.21,,25.10,64.57,,44.98,54.80,,62.98,,55.26,,,,,,11.19,
1991,,56.84,21.62,127.14,,81.20,31.34,,,,,42.97,21.81,35.99,21.70,15.19,,93.60,72.77,95.70,66.23,12.46,,31.31,73.51,,39.13,44.89,,52.67,,60.94,,,,,,,
1990,,56.10,16.36,125.73,,74.39,29.11,,,,,42.55,13.95,35.43,23.10,16.36,,98.93,68.87,92.36,66.94,13.33,,42.36,80.74,,28.91,47.63,,54.41,,57.39,,,,,,,
1989,,56.52,17.06,122.04,,71.56,25.10,,,,,40.85,14.23,34.01,25.63,17.53,,107.82,70.11,90.50,66.94,,,,,,32.32,42.36,,,,,,,,,,,
1988,,57.26,,125.16,,70.14,27.77,,,,,39.57,16.76,33.44,30.96,19.77,,109.24,67.62,,70.50,,,,,,32.42,39.19,,,,,,,,,,,
1987,,,,124.59,,70.42,29.70,,,,,42.97,17.60,33.44,34.89,,,108.53,68.16,,72.63,,,,,,38.49,43.83,,,,,,,,,,,
1986,,,,120.34,,69.86,30.89,,,,,43.40,16.48,31.18,37.14,,,93.96,64.79,,69.79,,,,,,45.93,39.62,,,,,,,,,,,
1985,,,,115.23,,65.60,32.67,,,,,42.12,15.92,30.61,38.54,,,91.12,60.53,,66.94,,,,,,36.89,37.93,,,,,,,,,,,
1984,,,,110.41,,60.78,33.41,,,,,37.02,15.36,29.20,38.82,,,87.21,55.92,,66.23,,,,,,35.08,29.49,,,,,,,,,,,
1983,,,,106.44,,57.66,33.86,,,,,30.21,15.36,26.93,38.54,,,74.42,52.55,,64.81,,,,,,35.19,26.75,,,,,,,,,,,
1982,,,,96.23,,52.27,,,,,,25.11,13.95,25.51,39.95,,,69.44,53.26,,59.13,,,,,,38.27,20.22,,,,,,,,,,,
1981,,,,86.58,,46.60,,,,,,20.00,11.71,22.12,40.23,,,65.18,48.83,,55.57,,,,,,43.06,16.84,,,,,,,,,,,
1980,,,,74.10,,44.90,,,,,,16.60,11.43,20.70,39.11,,,,47.94,,50.60,,,,,,47.32,15.58,,,,,,,,,,,
1979,,,,,,,,,,,,,11.15,,42.19,,,,,,,,,,,,,14.31,,,,,,,,,,,
1978,,,,,,,,,,,,,11.15,,44.44,,,,,,,,,,,,,8.41,,,,,,,,,,,
1977,,,,,,,,,,,,,8.06,,47.81,,,,,,,,,,,,,7.56,,,,,,,,,,,
1976,,,,,,,,,,,,,6.10,,49.21,,,,,,,,,,,,,8.62,,,,,,,,,,,
1975,,,,,,,,,,,,,6.66,,47.53,,,,,,,,,,,,,4.82,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,
