,ARGENTINA,AUSTRIA,AUSTRALIA,BELGIUM,BRAZIL,CANADA,SWITZERLAND,CHINA,CZECH-REPUBLIC,GERMANY,DENMARK,SPAIN,FINLAND,FRANCE,UNITED-KINGDOM,HONG-KONG,INDONESIA,IRELAND,INDIA,ITALY,JAPAN,SOUTH-KOREA,LUXEMBOURG,MEXICO,MALAYSIA,NETHERLANDS,NORWAY,NEW-ZEALAND,PERU,PHILIPPINES,POLAND,PORTUGAL,ROMANIA,RUSSIA,SWEDEN,SINGAPORE,THAILAND,TAIWAN,SOUTH-AFRICA
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,89.40,70.40,45.10,98.60,75.79,89.70,41.00,50.50,30.80,59.80,33.20,95.50,59.40,98.10,80.70,38.40,29.80,58.80,69.62,134.80,236.60,36.60,22.10,45.50,51.80,48.60,40.60,19.00,27.50,41.50,46.00,117.70,35.20,12.20,35.10,126.30,41.80,30.90,62.20
2,86.00,74.00,41.50,99.80,76.53,90.10,41.00,46.80,32.60,61.90,33.90,97.60,59.60,98.10,82.40,37.00,28.70,63.60,68.30,134.80,238.20,36.30,21.00,46.00,50.70,52.40,39.40,19.60,25.80,41.80,48.80,122.00,34.70,13.50,38.80,112.20,41.20,30.80,56.70
3,166.70,84.90,45.10,133.10,76.53,100.20,59.10,50.50,44.90,82.40,58.10,100.40,63.60,98.30,82.90,38.40,87.43,119.90,83.23,135.30,238.20,39.90,23.70,48.20,80.74,73.10,53.70,54.80,49.00,74.90,56.00,131.50,39.20,92.10,72.40,126.30,57.80,34.00,62.20
4,34.50,56.10,9.70,74.10,51.27,44.90,25.10,20.40,11.60,54.90,27.30,16.60,6.10,20.70,21.70,13.70,22.96,23.60,47.94,90.50,50.60,8.24,7.40,17.90,31.80,43.00,28.70,4.40,20.00,41.50,36.50,50.30,6.60,6.50,35.10,67.40,15.20,11.19,27.80
5,1997 - 2019,1988 - 2019,1989 - 2019,1980 - 2019,2006 - 2019,1980 - 2018,1982 - 2019,1995 - 2018,1995 - 2019,1995 - 2019,1999 - 2019,1980 - 2019,1975 - 2019,1980 - 2019,1975 - 2019,1988 - 2016,2000 - 2018,1980 - 2019,1980 - 2019,1988 - 2019,1980 - 2019,1990 - 2018,1995 - 2019,1990 - 2019,1990 - 2018,1995 - 2019,1980 - 2019,1972 - 2019,2000 - 2019,1990 - 2019,1995 - 2019,1990 - 2019,1995 - 2019,1999 - 2018,1994 - 2019,1993 - 2019,1996 - 2018,1992 - 2018,2000 - 2019
6,"
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent","
                    percent"
7,"
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly","
                    Yearly"
8,"


","

                        NSA
                    
","


","


","


","


","


","


","

                        NSA
                    
","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


","


"
